Workflow,Deadline,Cost
Montage_100.xml,1.0,0.7543927320436515
Montage_100.xml,1.1,0.38853890500000005
Montage_100.xml,1.0,0.7543927320436515
Montage_100.xml,2.0,57.333764583673165
Montage_100.xml,1.3,0.34146097259259267
Montage_100.xml,1.4,0.36916207064814804
Montage_100.xml,1.5,0.3336495083333334
Montage_100.xml,1.6,7.566780654931681
Montage_100.xml,1.7,7.56678065493167
Montage_100.xml,1.8,7.5667806549316685
Montage_100.xml,1.9,7.56678065493168
Montage_100.xml,2.0,57.33376458367316
Epigenomics_100.xml,1.0,25209.620038736433
Epigenomics_100.xml,1.1,27513.342960720594
Epigenomics_100.xml,1.0,25209.62003873645
Epigenomics_100.xml,2.0,45797.43028522007
Epigenomics_100.xml,1.3,33088.66257944889
Epigenomics_100.xml,1.4,34846.265460067574
Epigenomics_100.xml,1.5,36359.96171245851
Epigenomics_100.xml,1.6,38793.66290460772
Epigenomics_100.xml,1.7,42331.131401233426
Epigenomics_100.xml,1.8,43549.33799823218
Epigenomics_100.xml,1.9,44623.98892303297
Epigenomics_100.xml,2.0,45797.43028522002
Sipht_100.xml,1.0,2413.4980915575993
Sipht_100.xml,1.1,2599.636343954408
Sipht_100.xml,1.0,2413.4980915576016
Sipht_100.xml,2.0,3290.6410134484977
Sipht_100.xml,1.3,2988.7450548846673
Sipht_100.xml,1.4,2993.6831401982663
Sipht_100.xml,1.5,3001.1646359283395
Sipht_100.xml,1.6,3041.5049000593294
Sipht_100.xml,1.7,3110.570512321891
Sipht_100.xml,1.8,3127.9649918920304
Sipht_100.xml,1.9,3290.641013448498
Sipht_100.xml,2.0,3290.641013448501
