Workflow,Deadline,Cost
Montage_100.xml,1.0,1.1284779231547621
Montage_100.xml,1.1,1.0189460055777781
Montage_100.xml,1.0,1.1284779231547628
Montage_100.xml,2.0,1.0675412411199536
Montage_100.xml,1.3,0.9201290472500001
Montage_100.xml,1.4,0.9381705615856479
Montage_100.xml,1.5,0.7849195064236115
Montage_100.xml,1.6,0.18442226888888893
Montage_100.xml,1.7,0.18442226888888888
Montage_100.xml,1.8,0.18442226888888888
Montage_100.xml,1.9,0.4171389813395679
Montage_100.xml,2.0,1.0675412411199543
Epigenomics_100.xml,1.0,9186.86681738048
Epigenomics_100.xml,1.1,9253.907866170344
Epigenomics_100.xml,1.0,9186.86681738048
Epigenomics_100.xml,2.0,8358.998940884407
Epigenomics_100.xml,1.3,8962.887982700011
Epigenomics_100.xml,1.4,9033.466825943526
Epigenomics_100.xml,1.5,8739.893410228522
Epigenomics_100.xml,1.6,8558.93441292751
Epigenomics_100.xml,1.7,8529.44739996177
Epigenomics_100.xml,1.8,8480.482626047049
Epigenomics_100.xml,1.9,8365.943448246908
Epigenomics_100.xml,2.0,8358.99894088441
Sipht_100.xml,1.0,26.65217708066851
Sipht_100.xml,1.1,26.026211415179624
Sipht_100.xml,1.0,26.652177080668505
Sipht_100.xml,2.0,25.904208863231492
Sipht_100.xml,1.3,25.959021600612957
Sipht_100.xml,1.4,25.95910525283518
Sipht_100.xml,1.5,25.957407756038876
Sipht_100.xml,1.6,25.954548320235194
Sipht_100.xml,1.7,25.95270499652222
Sipht_100.xml,1.8,25.905975051872222
Sipht_100.xml,1.9,25.902859468629618
Sipht_100.xml,2.0,25.904208863231474
