Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand
R6IDN 12xlarge,r6idn.12xlarge,384,48,2850 GB (2×1425 GB NVMe SSD),75.0,4.6894
C5N 18xlarge,c5n.18xlarge,192,72,EBS only,100.0,3.888
R6ID Eight Extra Large,r6id.8xlarge,256,32,1900 GB NVMe SSD,12.5,2.4192
I3EN 12xlarge,i3en.12xlarge,384,48,30000 GB (4×7500 GB NVMe SSD),50.0,5.424
M6IN Extra Large,m6in.xlarge,16,4,EBS only,30.0,0.2785
X2IEDN 32xlarge,x2iedn.32xlarge,4096,128,3800 GB (2×1900 GB NVMe SSD),100.0,26.676
C5 High-CPU 18xlarge,c5.18xlarge,144,72,EBS only,25.0,3.06
C6IN Metal,c6in.metal,256,128,EBS only,200.0,7.2576
C7A Eight Extra Large,c7a.8xlarge,64,32,EBS only,12.5,1.6422
C5N 9xlarge,c5n.9xlarge,96,36,EBS only,50.0,1.944
X1E 16xlarge,x1e.16xlarge,1952,64,1920 GB SSD,10.0,13.344
R7IZ Eight Extra Large,r7iz.8xlarge,256,32,EBS only,12.5,2.976
R6IDN Metal,r6idn.metal,1024,128,7600 GB (4×1900 GB NVMe SSD),200.0,12.505
R4 High-Memory Quadruple Extra Large,r4.4xlarge,122,16,EBS only,10.0,1.064
M6ID Double Extra Large,m6id.2xlarge,32,8,474 GB NVMe SSD,12.5,0.4746
M5 General Purpose Eight Extra Large,m5d.8xlarge,128,32,1200 GB (2×600 GB NVMe SSD),10.0,1.808
X2IDN Metal,x2idn.metal,2048,128,3800 GB (2×1900 GB NVMe SSD),100.0,13.338
M8G Eight Extra Large,m8g.8xlarge,128,32,EBS only,15.0,1.4362
C5 High-CPU 24xlarge,c5d.24xlarge,192,96,3600 GB (4×900 GB NVMe SSD),25.0,4.608
C5 High-CPU Metal,c5d.metal,192,96,3600 GB (4×900 GB NVMe SSD),25.0,4.608
M5 General Purpose 12xlarge,m5.12xlarge,192,48,EBS only,12.0,2.304
I7I 24xlarge,i7i.24xlarge,768,96,22500 GB (6×3750 GB NVMe SSD),56.25,9.0605
R4 High-Memory Double Extra Large,r4.2xlarge,61,8,EBS only,10.0,0.532
C5N Metal,c5n.metal,192,72,EBS only,100.0,3.888
R7GD Metal,r7gd.metal,512,64,3800 GB (2×1900 GB NVMe SSD),30.0,4.3546
R7IZ 12xlarge,r7iz.12xlarge,384,48,EBS only,25.0,4.464
R5N Metal,r5n.metal,768,96,EBS only,100.0,7.152
