Workflow,Cost,Makespan
CyberShake_30.xml,1.0,1023.52
CyberShake_30.xml,1.1,770.7199999999999
CyberShake_30.xml,1.21,282.48
CyberShake_30.xml,1.33,234.04500000000002
CyberShake_30.xml,1.46,210.325
CyberShake_30.xml,1.61,198.04500000000002
CyberShake_30.xml,1.77,198.04500000000002
CyberShake_30.xml,1.95,198.04500000000002
CyberShake_30.xml,2.14,198.04500000000002
CyberShake_30.xml,2.36,198.04500000000002
CyberShake_30.xml,2.59,198.04500000000002
CyberShake_30.xml,2.85,191.90499999999997
CyberShake_30.xml,3.14,191.90499999999997
CyberShake_30.xml,3.45,179.90999999999997
CyberShake_30.xml,3.79,179.90999999999997
CyberShake_30.xml,4.17,131.45499999999998
CyberShake_30.xml,4.58,131.45499999999998
CyberShake_30.xml,5.04,131.45499999999998
CyberShake_30.xml,5.54,130.06
CyberShake_30.xml,6.09,111.925
CyberShake_30.xml,6.7,111.925
CyberShake_30.xml,7.37,111.925
CyberShake_30.xml,8.11,111.925
CyberShake_30.xml,8.92,111.925
CyberShake_30.xml,9.81,111.925
CyberShake_30.xml,10.79,112.21000000000001
CyberShake_30.xml,11.87,92.67999999999999
CyberShake_30.xml,13.06,92.67999999999999
CyberShake_30.xml,14.37,92.67999999999999
CyberShake_30.xml,15.81,92.67999999999999
CyberShake_30.xml,17.39,92.67999999999999
CyberShake_30.xml,19.13,62.085
Epigenomics_46.xml,1.0,96167.68000000001
Epigenomics_46.xml,1.1,96167.68000000001
Epigenomics_46.xml,1.21,96144.96
Epigenomics_46.xml,1.33,96118.08
Epigenomics_46.xml,1.46,96118.08
Epigenomics_46.xml,1.61,105472.0
Epigenomics_46.xml,1.77,96118.08
Epigenomics_46.xml,1.95,96118.08
Epigenomics_46.xml,2.14,4504.09
Epigenomics_46.xml,2.36,60482.72
Epigenomics_46.xml,2.59,37157.44
Epigenomics_46.xml,2.85,105472.0
Epigenomics_46.xml,3.14,60482.72
Epigenomics_46.xml,3.45,60482.72
Epigenomics_46.xml,3.79,75212.16
Epigenomics_46.xml,4.17,68314.56
Epigenomics_46.xml,4.58,43217.12
Epigenomics_46.xml,5.04,75212.16
Epigenomics_46.xml,5.54,59691.68
Epigenomics_46.xml,6.09,75212.16
Epigenomics_46.xml,6.7,75212.16
Epigenomics_46.xml,7.37,75212.16
Epigenomics_46.xml,8.11,59691.68
Epigenomics_46.xml,8.92,72968.96
Epigenomics_46.xml,9.81,4487.375
Epigenomics_46.xml,10.79,72968.96
Epigenomics_46.xml,11.87,72968.96
Epigenomics_46.xml,13.06,3830.135
Epigenomics_46.xml,14.37,3761.0600000000004
Epigenomics_46.xml,15.81,2283.02
Epigenomics_46.xml,17.39,1481.75
Epigenomics_46.xml,19.13,1522.6400000000003
Inspiral_30.xml,1.0,10088.48
Inspiral_30.xml,1.1,13706.080000000002
Inspiral_30.xml,1.21,1899.3
Inspiral_30.xml,1.33,8653.12
Inspiral_30.xml,1.46,8563.36
Inspiral_30.xml,1.61,2148.0800000000004
Inspiral_30.xml,1.77,1899.3
Inspiral_30.xml,1.95,1800.08
Inspiral_30.xml,2.14,1684.92
Inspiral_30.xml,2.36,1617.7400000000002
Inspiral_30.xml,2.59,1387.955
Inspiral_30.xml,2.85,1387.955
Inspiral_30.xml,3.14,1081.565
Inspiral_30.xml,3.45,1081.565
Inspiral_30.xml,3.79,1081.565
Inspiral_30.xml,4.17,1081.565
Inspiral_30.xml,4.58,1081.565
Inspiral_30.xml,5.04,744.1949999999999
Inspiral_30.xml,5.54,744.1949999999999
Inspiral_30.xml,6.09,744.1949999999999
Inspiral_30.xml,6.7,784.25
Inspiral_30.xml,7.37,784.25
Inspiral_30.xml,8.11,446.88
Inspiral_30.xml,8.92,446.88
Inspiral_30.xml,9.81,446.88
Inspiral_30.xml,10.79,489.01
Inspiral_30.xml,11.87,489.01
Inspiral_30.xml,13.06,529.065
Inspiral_30.xml,14.37,211.62
Inspiral_30.xml,15.81,268.40500000000003
Inspiral_30.xml,17.39,262.225
Inspiral_30.xml,19.13,191.69500000000002
Inspiral_50.xml,1.0,11291.36
Inspiral_50.xml,1.1,18906.559999999998
Inspiral_50.xml,1.21,11291.36
Inspiral_50.xml,1.33,11004.16
Inspiral_50.xml,1.46,11004.16
Inspiral_50.xml,1.61,1972.26
Inspiral_50.xml,1.77,11028.64
Inspiral_50.xml,1.95,1751.7599999999998
Inspiral_50.xml,2.14,11028.64
Inspiral_50.xml,2.36,4803.04
Inspiral_50.xml,2.59,8684.32
Inspiral_50.xml,2.85,1771.6349999999998
Inspiral_50.xml,3.14,1426.9899999999998
Inspiral_50.xml,3.45,1426.9899999999998
Inspiral_50.xml,3.79,1414.435
Inspiral_50.xml,4.17,1411.6399999999999
Inspiral_50.xml,4.58,1130.5600000000002
Inspiral_50.xml,5.04,1099.4499999999998
Inspiral_50.xml,5.54,1100.215
Inspiral_50.xml,6.09,755.5699999999999
Inspiral_50.xml,6.7,765.805
Inspiral_50.xml,7.37,909.61
Inspiral_50.xml,8.11,564.965
Inspiral_50.xml,8.92,565.075
Inspiral_50.xml,9.81,566.175
Inspiral_50.xml,10.79,566.175
Inspiral_50.xml,11.87,591.65
Inspiral_50.xml,13.06,591.65
Inspiral_50.xml,14.37,579.095
Inspiral_50.xml,15.81,247.77
Inspiral_50.xml,17.39,247.77
Inspiral_50.xml,19.13,282.82500000000005
Inspiral_30.xml,1.0,10088.48
Inspiral_30.xml,1.1,13706.080000000002
Inspiral_30.xml,1.21,1899.3
Inspiral_30.xml,1.33,8653.12
Inspiral_30.xml,1.46,8563.36
Inspiral_30.xml,1.61,2148.0800000000004
Inspiral_30.xml,1.77,1899.3
Inspiral_30.xml,1.95,1800.08
Inspiral_30.xml,2.14,1684.92
Inspiral_30.xml,2.36,1617.7400000000002
Inspiral_30.xml,2.59,1387.955
Inspiral_30.xml,2.85,1387.955
Inspiral_30.xml,3.14,1081.565
Inspiral_30.xml,3.45,1081.565
Inspiral_30.xml,3.79,1081.565
Inspiral_30.xml,4.17,1081.565
Inspiral_30.xml,4.58,1081.565
Inspiral_30.xml,5.04,744.1949999999999
Inspiral_30.xml,5.54,744.1949999999999
Inspiral_30.xml,6.09,744.1949999999999
Inspiral_30.xml,6.7,784.25
Inspiral_30.xml,7.37,784.25
Inspiral_30.xml,8.11,446.88
Inspiral_30.xml,8.92,446.88
Inspiral_30.xml,9.81,446.88
Inspiral_30.xml,10.79,489.01
Inspiral_30.xml,11.87,489.01
Inspiral_30.xml,13.06,529.065
Inspiral_30.xml,14.37,211.62
Inspiral_30.xml,15.81,268.40500000000003
Inspiral_30.xml,17.39,262.225
Inspiral_30.xml,19.13,191.69500000000002
Montage_50.xml,1.0,212.96
Montage_50.xml,1.1,171.84
Montage_50.xml,1.21,170.08
Montage_50.xml,1.33,170.24
Montage_50.xml,1.46,56.474999999999994
Montage_50.xml,1.61,55.16
Montage_50.xml,1.77,50.260000000000005
Montage_50.xml,1.95,44.36999999999999
Montage_50.xml,2.14,42.52
Montage_50.xml,2.36,38.98
Montage_50.xml,2.59,32.415
Montage_50.xml,2.85,35.92
Montage_50.xml,3.14,31.14
Montage_50.xml,3.45,27.089999999999996
Montage_50.xml,3.79,27.089999999999996
Montage_50.xml,4.17,25.705
Montage_50.xml,4.58,26.16
Montage_50.xml,5.04,21.36
Montage_50.xml,5.54,21.2
Montage_50.xml,6.09,18.88
Montage_50.xml,6.7,13.6
Montage_50.xml,7.37,13.6
Montage_50.xml,8.11,13.6
Montage_50.xml,8.92,13.455
Montage_50.xml,9.81,13.385
Montage_50.xml,10.79,13.34
Montage_50.xml,11.87,12.1
Montage_50.xml,13.06,7.1866666666666665
Montage_50.xml,14.37,7.1866666666666665
Montage_50.xml,15.81,7.066666666666666
Montage_50.xml,17.39,7.06
Montage_50.xml,19.13,6.8
Sipht_30.xml,1.0,39207.2416
Sipht_30.xml,1.1,15721.8048
Sipht_30.xml,1.21,15721.8048
Sipht_30.xml,1.33,2150.3592
Sipht_30.xml,1.46,2150.3592
Sipht_30.xml,1.61,2055.3256
