workflow,deadline_factor,total_cost
Epigenomics_46,0.1,7.344
Epigenomics_46,0.2,285.41929999999996
Epigenomics_46,0.3,670.0146
Epigenomics_46,0.4,55.15880000000001
Epigenomics_46,0.5,343.0750999999999
Epigenomics_46,0.6,80.9608
Epigenomics_46,0.7,80.9608
Epigenomics_46,0.8,712.6789999999999
Epigenomics_46,0.9,80.9608
Inspiral_30,0.1,14.688
Inspiral_30,0.2,30.002000000000002
Inspiral_30,0.3,55.15880000000001
Inspiral_30,0.4,55.15880000000001
Inspiral_30,0.5,55.15880000000001
Inspiral_30,0.6,55.15880000000001
Inspiral_30,0.7,325.8900999999999
Inspiral_30,0.8,686.877
Inspiral_30,0.9,55.15880000000001
CyberShake_30,0.1,7.344
CyberShake_30,0.2,7.344
CyberShake_30,0.3,7.344
CyberShake_30,0.4,14.688
CyberShake_30,0.5,14.688
CyberShake_30,0.6,14.688
CyberShake_30,0.7,14.688
CyberShake_30,0.8,781.6338999999999
CyberShake_30,0.9,1605.3235
