workflow,deadline_factor,total_cost
Epigenomics_46.xml,1.0,3.3833333333333333E-6
Epigenomics_46.xml,1.1,3.3833333333333333E-6
Epigenomics_46.xml,1.2,3.3833333333333333E-6
Epigenomics_46.xml,1.3,3.3833333333333333E-6
Epigenomics_46.xml,1.4,3.3833333333333333E-6
Epigenomics_46.xml,1.5,3.3833333333333333E-6
Epigenomics_46.xml,1.6,3.3833333333333333E-6
Epigenomics_46.xml,1.7,3.3833333333333333E-6
Epigenomics_46.xml,1.8,3.3833333333333333E-6
Epigenomics_46.xml,1.9,3.3833333333333333E-6
Epigenomics_46.xml,2.0,3.3833333333333333E-6
Inspiral_30.xml,1.0,3.3833333333333333E-6
Inspiral_30.xml,1.1,3.3833333333333333E-6
Inspiral_30.xml,1.2,3.3833333333333333E-6
Inspiral_30.xml,1.3,3.3833333333333333E-6
Inspiral_30.xml,1.4,3.3833333333333333E-6
Inspiral_30.xml,1.5,3.3833333333333333E-6
Inspiral_30.xml,1.6,3.3833333333333333E-6
Inspiral_30.xml,1.7,3.3833333333333333E-6
Inspiral_30.xml,1.8,3.3833333333333333E-6
Inspiral_30.xml,1.9,3.3833333333333333E-6
Inspiral_30.xml,2.0,3.3833333333333333E-6
CyberShake_30.xml,1.0,3.3833333333333333E-6
CyberShake_30.xml,1.1,3.3833333333333333E-6
CyberShake_30.xml,1.2,3.3833333333333333E-6
CyberShake_30.xml,1.3,3.3833333333333333E-6
CyberShake_30.xml,1.4,3.3833333333333333E-6
CyberShake_30.xml,1.5,3.3833333333333333E-6
CyberShake_30.xml,1.6,3.3833333333333333E-6
CyberShake_30.xml,1.7,3.3833333333333333E-6
CyberShake_30.xml,1.8,3.3833333333333333E-6
CyberShake_30.xml,1.9,3.3833333333333333E-6
CyberShake_30.xml,2.0,3.3833333333333333E-6
