Workflow,Deadline,Cost
CyberShake_30.xml,1.0,766.9459
CyberShake_30.xml,1.2,912.8786
CyberShake_30.xml,1.5,912.8786000000001
CyberShake_30.xml,2.0,729.3426999999999
CyberShake_30.xml,2.5,729.3426999999999
CyberShake_30.xml,3.0,729.3427
CyberShake_30.xml,3.5,729.3426999999999
CyberShake_30.xml,4.0,729.3426999999999
CyberShake_30.xml,4.5,729.3427
CyberShake_30.xml,5.0,729.3427
CyberShake_30.xml,5.5,729.3427
CyberShake_30.xml,6.0,729.3427
CyberShake_30.xml,6.5,729.3427000000001
CyberShake_30.xml,7.0,729.3426999999999
CyberShake_30.xml,7.5,729.3427
CyberShake_30.xml,8.0,729.3426999999999
CyberShake_30.xml,8.5,729.3426999999999
CyberShake_30.xml,9.0,729.3426999999999
CyberShake_30.xml,9.5,729.3427000000001
CyberShake_30.xml,10.0,729.3426999999999
Epigenomics_46.xml,1.0,1032.5766999999998
Epigenomics_46.xml,1.2,1062.7078999999999
Epigenomics_46.xml,1.5,1062.7078999999999
Epigenomics_46.xml,2.0,667.6042
Epigenomics_46.xml,2.5,667.6042
Epigenomics_46.xml,3.0,667.6042
Epigenomics_46.xml,3.5,667.6042
Epigenomics_46.xml,4.0,667.6042
Epigenomics_46.xml,4.5,667.6042000000001
Epigenomics_46.xml,5.0,667.6042000000002
Epigenomics_46.xml,5.5,667.6042000000001
Epigenomics_46.xml,6.0,667.6042000000001
Epigenomics_46.xml,6.5,667.6042000000001
Epigenomics_46.xml,7.0,667.6042000000001
Epigenomics_46.xml,7.5,667.6042
Epigenomics_46.xml,8.0,667.6042000000002
Epigenomics_46.xml,8.5,667.6042
Epigenomics_46.xml,9.0,667.6042000000002
Epigenomics_46.xml,9.5,667.6042000000002
Epigenomics_46.xml,10.0,667.6042000000001
Inspiral_30.xml,1.0,1531.4971
Inspiral_30.xml,1.2,1544.0021
Inspiral_30.xml,1.5,1556.5760999999998
Inspiral_30.xml,2.0,508.25539999999995
Inspiral_30.xml,2.5,508.2553999999999
Inspiral_30.xml,3.0,508.2553999999999
Inspiral_30.xml,3.5,508.2553999999999
Inspiral_30.xml,4.0,508.2554
Inspiral_30.xml,4.5,508.25539999999995
Inspiral_30.xml,5.0,508.2553999999999
Inspiral_30.xml,5.5,508.25539999999995
Inspiral_30.xml,6.0,508.25539999999995
Inspiral_30.xml,6.5,508.25539999999995
Inspiral_30.xml,7.0,508.25539999999995
Inspiral_30.xml,7.5,508.25539999999995
Inspiral_30.xml,8.0,508.2553999999999
Inspiral_30.xml,8.5,508.25539999999995
Inspiral_30.xml,9.0,508.2553999999999
Inspiral_30.xml,9.5,508.25539999999984
Inspiral_30.xml,10.0,508.2554
Inspiral_50.xml,1.0,1964.5503999999999
Inspiral_50.xml,1.2,1971.8079999999998
Inspiral_50.xml,1.5,1992.7699999999993
Inspiral_50.xml,2.0,594.1097000000002
Inspiral_50.xml,2.5,594.1097000000001
Inspiral_50.xml,3.0,594.1097000000001
Inspiral_50.xml,3.5,594.1097
Inspiral_50.xml,4.0,594.1097000000001
Inspiral_50.xml,4.5,594.1097000000003
Inspiral_50.xml,5.0,594.1097000000001
Inspiral_50.xml,5.5,594.1097000000001
Inspiral_50.xml,6.0,594.1097000000001
Inspiral_50.xml,6.5,594.1097000000001
Inspiral_50.xml,7.0,594.1097000000002
Inspiral_50.xml,7.5,594.1097000000001
Inspiral_50.xml,8.0,594.1097000000002
Inspiral_50.xml,8.5,594.1097000000001
Inspiral_50.xml,9.0,594.1097000000001
Inspiral_50.xml,9.5,594.1097000000001
Inspiral_50.xml,10.0,594.1097000000002
Inspiral_30.xml,1.0,1531.4971
Inspiral_30.xml,1.2,1544.0021000000002
Inspiral_30.xml,1.5,1556.5761
Inspiral_30.xml,2.0,508.2553999999999
Inspiral_30.xml,2.5,508.25539999999995
Inspiral_30.xml,3.0,508.25539999999995
Inspiral_30.xml,3.5,508.2553999999999
Inspiral_30.xml,4.0,508.2553999999999
Inspiral_30.xml,4.5,508.2554
Inspiral_30.xml,5.0,508.2554
Inspiral_30.xml,5.5,508.2553999999999
Inspiral_30.xml,6.0,508.25539999999984
Inspiral_30.xml,6.5,508.2554
Inspiral_30.xml,7.0,508.25539999999995
Inspiral_30.xml,7.5,508.25539999999995
Inspiral_30.xml,8.0,508.2553999999999
Inspiral_30.xml,8.5,508.2553999999999
Inspiral_30.xml,9.0,508.25539999999995
Inspiral_30.xml,9.5,508.2553999999999
Inspiral_30.xml,10.0,508.2553999999999
Montage_50.xml,1.0,694.1345999999999
Montage_50.xml,1.2,757.4305999999999
Montage_50.xml,1.5,757.4306000000001
Montage_50.xml,2.0,396.4436999999999
Montage_50.xml,2.5,396.4437
Montage_50.xml,3.0,396.4436999999999
Montage_50.xml,3.5,396.4437
Montage_50.xml,4.0,396.4437
Montage_50.xml,4.5,396.4437
Montage_50.xml,5.0,396.4436999999999
Montage_50.xml,5.5,396.4437
Montage_50.xml,6.0,396.4436999999999
Montage_50.xml,6.5,396.4436999999999
Montage_50.xml,7.0,694.1346000000001
Montage_50.xml,7.5,333.14769999999993
Montage_50.xml,8.0,333.1477
Montage_50.xml,8.5,333.14769999999993
Montage_50.xml,9.0,333.14769999999993
Montage_50.xml,9.5,333.1477
Montage_50.xml,10.0,333.14769999999993
Sipht_30.xml,1.0,1927.7254999999998
Sipht_30.xml,1.2,1911.3076
Sipht_30.xml,1.5,1911.3075999999999
Sipht_30.xml,2.0,562.0927999999999
Sipht_30.xml,2.5,562.0928000000002
Sipht_30.xml,3.0,562.0927999999999
Sipht_30.xml,3.5,562.0928000000001
Sipht_30.xml,4.0,562.0928
Sipht_30.xml,4.5,562.0927999999999
Sipht_30.xml,5.0,562.0928
Sipht_30.xml,5.5,562.0927999999999
Sipht_30.xml,6.0,562.0928
Sipht_30.xml,6.5,562.0928
Sipht_30.xml,7.0,562.0928
Sipht_30.xml,7.5,562.0928
Sipht_30.xml,8.0,562.0928
Sipht_30.xml,8.5,562.0928
Sipht_30.xml,9.0,562.0927999999999
Sipht_30.xml,9.5,562.0928
Sipht_30.xml,10.0,562.0928
