Workflow,Deadline,Cost
CyberShake_30.xml,1.0,2.248
CyberShake_30.xml,1.1,2.248
CyberShake_30.xml,1.0,2.248
CyberShake_30.xml,2.0,0.816
CyberShake_30.xml,1.3,1.496
CyberShake_30.xml,1.4,1.496
CyberShake_30.xml,1.5,0.816
CyberShake_30.xml,1.6,0.816
CyberShake_30.xml,1.7,0.816
CyberShake_30.xml,1.8,0.816
CyberShake_30.xml,1.9,0.816
CyberShake_30.xml,2.0,0.816
Epigenomics_46.xml,1.0,57.122
Epigenomics_46.xml,1.1,26.933
Epigenomics_46.xml,1.0,57.122
Epigenomics_46.xml,2.0,13.5702
Epigenomics_46.xml,1.3,19.925800000000002
Epigenomics_46.xml,1.4,18.654400000000003
Epigenomics_46.xml,1.5,17.729
Epigenomics_46.xml,1.6,16.7738
Epigenomics_46.xml,1.7,16.773799999999998
Epigenomics_46.xml,1.8,16.4678
Epigenomics_46.xml,1.9,16.4678
Epigenomics_46.xml,2.0,13.5702
Inspiral_30.xml,1.0,36.5209
Inspiral_30.xml,1.1,41.69449999999999
Inspiral_30.xml,1.0,36.5209
Inspiral_30.xml,2.0,6.2593000000000005
Inspiral_30.xml,1.3,8.2737
Inspiral_30.xml,1.4,8.5849
Inspiral_30.xml,1.5,69.7457
Inspiral_30.xml,1.6,13.199300000000001
Inspiral_30.xml,1.7,6.9137
Inspiral_30.xml,1.8,186.0253
Inspiral_30.xml,1.9,12.264899999999997
Inspiral_30.xml,2.0,6.2593000000000005
Inspiral_50.xml,1.0,87.3275
Inspiral_50.xml,1.1,89.4447
Inspiral_50.xml,1.0,87.32749999999999
Inspiral_50.xml,2.0,9.302999999999999
Inspiral_50.xml,1.3,47.43169999999999
Inspiral_50.xml,1.4,19.9781
Inspiral_50.xml,1.5,10.740499999999999
Inspiral_50.xml,1.6,24.668499999999998
Inspiral_50.xml,1.7,12.1925
Inspiral_50.xml,1.8,75.4486
Inspiral_50.xml,1.9,17.7785
Inspiral_50.xml,2.0,9.302999999999999
Inspiral_30.xml,1.0,36.5209
Inspiral_30.xml,1.1,41.6945
Inspiral_30.xml,1.0,36.5209
Inspiral_30.xml,2.0,6.2593000000000005
Inspiral_30.xml,1.3,8.273700000000002
Inspiral_30.xml,1.4,8.584900000000001
Inspiral_30.xml,1.5,69.74569999999999
Inspiral_30.xml,1.6,13.199300000000001
Inspiral_30.xml,1.7,6.9137
Inspiral_30.xml,1.8,186.0253
Inspiral_30.xml,1.9,12.2649
Inspiral_30.xml,2.0,6.2593
Montage_50.xml,1.0,1.94
Montage_50.xml,1.1,1.94
Montage_50.xml,1.0,1.94
Montage_50.xml,2.0,64.112
Montage_50.xml,1.3,65.236
Montage_50.xml,1.4,65.236
Montage_50.xml,1.5,64.65599999999999
Montage_50.xml,1.6,64.656
Montage_50.xml,1.7,64.656
Montage_50.xml,1.8,64.656
Montage_50.xml,1.9,64.656
Montage_50.xml,2.0,64.112
Sipht_30.xml,1.0,12.938000000000002
Sipht_30.xml,1.1,10.8984
Sipht_30.xml,1.0,12.938000000000004
Sipht_30.xml,2.0,6.474199999999999
Sipht_30.xml,1.3,8.328299999999999
Sipht_30.xml,1.4,8.016599999999999
Sipht_30.xml,1.5,8.016599999999999
Sipht_30.xml,1.6,7.7334
Sipht_30.xml,1.7,6.674200000000001
Sipht_30.xml,1.8,6.4742
Sipht_30.xml,1.9,6.4742
Sipht_30.xml,2.0,6.4742
