Workflow,Deadline,Cost
CyberShake_30.xml,1.0,1.088
CyberShake_30.xml,1.2,1.088
CyberShake_30.xml,1.5,1.088
CyberShake_30.xml,2.0,0.408
CyberShake_30.xml,2.5,0.408
CyberShake_30.xml,3.0,0.408
CyberShake_30.xml,3.5,0.408
CyberShake_30.xml,4.0,0.204
CyberShake_30.xml,4.5,0.204
CyberShake_30.xml,5.0,0.204
CyberShake_30.xml,5.5,0.204
CyberShake_30.xml,6.0,0.204
CyberShake_30.xml,6.5,0.204
CyberShake_30.xml,7.0,0.204
CyberShake_30.xml,7.5,0.204
CyberShake_30.xml,8.0,0.11089999999999998
CyberShake_30.xml,8.5,0.1104
CyberShake_30.xml,9.0,0.1104
CyberShake_30.xml,9.5,0.11089999999999998
CyberShake_30.xml,10.0,0.1109
Epigenomics_46.xml,1.0,1.802
Epigenomics_46.xml,1.2,1.802
Epigenomics_46.xml,1.5,1.802
Epigenomics_46.xml,2.0,1.1807999999999998
Epigenomics_46.xml,2.5,1.1807999999999998
Epigenomics_46.xml,3.0,1.1807999999999998
Epigenomics_46.xml,3.5,1.1807999999999998
Epigenomics_46.xml,4.0,0.9767999999999999
Epigenomics_46.xml,4.5,0.9767999999999999
Epigenomics_46.xml,5.0,0.9767999999999999
Epigenomics_46.xml,5.5,0.9767999999999999
Epigenomics_46.xml,6.0,0.9767999999999999
Epigenomics_46.xml,6.5,0.9767999999999999
Epigenomics_46.xml,7.0,0.9767999999999999
Epigenomics_46.xml,7.5,0.9767999999999999
Epigenomics_46.xml,8.0,0.8747999999999999
Epigenomics_46.xml,8.5,0.8747999999999999
Epigenomics_46.xml,9.0,0.8747999999999999
Epigenomics_46.xml,9.5,0.8747999999999999
Epigenomics_46.xml,10.0,0.8747999999999999
Inspiral_30.xml,1.0,1.1468
Inspiral_30.xml,1.2,2.8732
Inspiral_30.xml,1.5,1.1468
Inspiral_30.xml,2.0,0.5045999999999999
Inspiral_30.xml,2.5,0.5004
Inspiral_30.xml,3.0,0.5004
Inspiral_30.xml,3.5,0.5004
Inspiral_30.xml,4.0,0.3132
Inspiral_30.xml,4.5,0.3132
Inspiral_30.xml,5.0,0.3132
Inspiral_30.xml,5.5,0.3132
Inspiral_30.xml,6.0,0.31739999999999996
Inspiral_30.xml,6.5,0.3132
Inspiral_30.xml,7.0,0.3132
Inspiral_30.xml,7.5,0.5982
Inspiral_30.xml,8.0,0.5087999999999999
Inspiral_30.xml,8.5,0.2196
Inspiral_30.xml,9.0,0.2196
Inspiral_30.xml,9.5,0.2196
Inspiral_30.xml,10.0,0.2196
Inspiral_50.xml,1.0,1.2434
Inspiral_50.xml,1.2,1.2434
Inspiral_50.xml,1.5,1.2434
Inspiral_50.xml,2.0,0.597
Inspiral_50.xml,2.5,0.597
Inspiral_50.xml,3.0,0.597
Inspiral_50.xml,3.5,0.597
Inspiral_50.xml,4.0,0.40979999999999994
Inspiral_50.xml,4.5,0.40979999999999994
Inspiral_50.xml,5.0,0.40979999999999994
Inspiral_50.xml,5.5,0.40979999999999994
Inspiral_50.xml,6.0,1.0231999999999999
Inspiral_50.xml,6.5,1.069
Inspiral_50.xml,7.0,0.40979999999999994
Inspiral_50.xml,7.5,0.40979999999999994
Inspiral_50.xml,8.0,0.32039999999999996
Inspiral_50.xml,8.5,0.3162
Inspiral_50.xml,9.0,0.3162
Inspiral_50.xml,9.5,0.3162
Inspiral_50.xml,10.0,0.32039999999999996
Inspiral_30.xml,1.0,1.1468
Inspiral_30.xml,1.2,1.1468
