Workflow,Deadline,Cost
CyberShake_30.xml,1.0,2.248
CyberShake_30.xml,1.2,2.248
CyberShake_30.xml,1.5,0.816
CyberShake_30.xml,2.0,0.816
CyberShake_30.xml,2.5,0.816
CyberShake_30.xml,3.0,0.816
CyberShake_30.xml,3.5,0.408
CyberShake_30.xml,4.0,0.408
CyberShake_30.xml,4.5,0.612
CyberShake_30.xml,5.0,0.612
CyberShake_30.xml,5.5,0.51
CyberShake_30.xml,6.0,0.51
CyberShake_30.xml,6.5,0.51
CyberShake_30.xml,7.0,0.51
CyberShake_30.xml,7.5,0.2364
CyberShake_30.xml,8.0,0.2364
CyberShake_30.xml,8.5,0.2364
CyberShake_30.xml,9.0,0.2364
CyberShake_30.xml,9.5,0.2364
CyberShake_30.xml,10.0,0.2364
Epigenomics_46.xml,1.0,57.122
Epigenomics_46.xml,1.2,22.620200000000004
Epigenomics_46.xml,1.5,17.729
Epigenomics_46.xml,2.0,13.5702
Epigenomics_46.xml,2.5,14.2442
Epigenomics_46.xml,3.0,14.1522
Epigenomics_46.xml,3.5,14.029
Epigenomics_46.xml,4.0,13.0872
Epigenomics_46.xml,4.5,11.824200000000001
Epigenomics_46.xml,5.0,11.670199999999998
Epigenomics_46.xml,5.5,10.5854
Epigenomics_46.xml,6.0,10.5854
Epigenomics_46.xml,6.5,10.267199999999999
Epigenomics_46.xml,7.0,10.0246
Epigenomics_46.xml,7.5,9.9906
Epigenomics_46.xml,8.0,10.3842
Epigenomics_46.xml,8.5,9.976200000000002
Epigenomics_46.xml,9.0,9.976199999999999
Epigenomics_46.xml,9.5,9.9762
Epigenomics_46.xml,10.0,9.976199999999999
Inspiral_30.xml,1.0,36.5209
Inspiral_30.xml,1.2,14.1995
Inspiral_30.xml,1.5,69.7457
Inspiral_30.xml,2.0,6.2593000000000005
Inspiral_30.xml,2.5,5.5282
Inspiral_30.xml,3.0,2.9724
Inspiral_30.xml,3.5,2.3208
Inspiral_30.xml,4.0,1.9711999999999998
Inspiral_30.xml,4.5,1.8377999999999999
Inspiral_30.xml,5.0,1.3883999999999999
Inspiral_30.xml,5.5,1.319
Inspiral_30.xml,6.0,1.319
Inspiral_30.xml,6.5,1.3164
Inspiral_30.xml,7.0,1.0316
Inspiral_30.xml,7.5,0.7267999999999998
Inspiral_30.xml,8.0,5.438400000000001
Inspiral_30.xml,8.5,0.18069999999999997
Inspiral_30.xml,9.0,182.4209
Inspiral_30.xml,9.5,1.7711
Inspiral_30.xml,10.0,35.5509
Inspiral_50.xml,1.0,87.3275
Inspiral_50.xml,1.2,20.732499999999998
Inspiral_50.xml,1.5,10.740499999999999
Inspiral_50.xml,2.0,9.302999999999999
Inspiral_50.xml,2.5,36.9705
Inspiral_50.xml,3.0,35.1477
Inspiral_50.xml,3.5,6.505300000000001
Inspiral_50.xml,4.0,5.7472
Inspiral_50.xml,4.5,4.3016000000000005
Inspiral_50.xml,5.0,3.3591999999999995
Inspiral_50.xml,5.5,2.9014
Inspiral_50.xml,6.0,2.487
Inspiral_50.xml,6.5,2.4417
Inspiral_50.xml,7.0,2.1606
Inspiral_50.xml,7.5,2.1606
Inspiral_50.xml,8.0,7.263699999999999
Inspiral_50.xml,8.5,4.9343
