Workflow,Deadline,Cost
CyberShake_30.xml,1.0,2.248
CyberShake_30.xml,1.2,2.248
CyberShake_30.xml,1.5,0.816
CyberShake_30.xml,2.0,0.816
CyberShake_30.xml,2.5,0.816
CyberShake_30.xml,3.0,0.4728
CyberShake_30.xml,3.5,0.4728
CyberShake_30.xml,4.0,0.4728
CyberShake_30.xml,4.5,0.4728
CyberShake_30.xml,5.0,0.4728
CyberShake_30.xml,5.5,0.306
CyberShake_30.xml,6.0,0.2364
CyberShake_30.xml,6.5,0.2364
CyberShake_30.xml,7.0,0.2364
CyberShake_30.xml,7.5,0.2364
CyberShake_30.xml,8.0,0.2364
CyberShake_30.xml,8.5,0.2364
CyberShake_30.xml,9.0,0.2364
CyberShake_30.xml,9.5,0.2364
CyberShake_30.xml,10.0,0.2364
Epigenomics_46.xml,1.0,57.122
Epigenomics_46.xml,1.2,22.620199999999997
Epigenomics_46.xml,1.5,17.729
Epigenomics_46.xml,2.0,13.5702
Epigenomics_46.xml,2.5,14.244200000000001
Epigenomics_46.xml,3.0,14.1522
Epigenomics_46.xml,3.5,14.029
Epigenomics_46.xml,4.0,13.0872
Epigenomics_46.xml,4.5,11.824200000000001
Epigenomics_46.xml,5.0,11.670200000000001
Epigenomics_46.xml,5.5,11.670200000000001
Epigenomics_46.xml,6.0,11.072199999999999
Epigenomics_46.xml,6.5,10.267199999999999
Epigenomics_46.xml,7.0,10.0246
Epigenomics_46.xml,7.5,10.0134
Epigenomics_46.xml,8.0,10.0782
Epigenomics_46.xml,8.5,10.078199999999999
Epigenomics_46.xml,9.0,10.0782
Epigenomics_46.xml,9.5,10.0782
Epigenomics_46.xml,10.0,10.0782
Inspiral_30.xml,1.0,38.5945
Inspiral_30.xml,1.2,14.1995
Inspiral_30.xml,1.5,69.7457
Inspiral_30.xml,2.0,6.2593000000000005
Inspiral_30.xml,2.5,5.528200000000001
Inspiral_30.xml,3.0,2.9723999999999995
Inspiral_30.xml,3.5,2.3208
Inspiral_30.xml,4.0,1.9711999999999998
Inspiral_30.xml,4.5,1.8377999999999999
Inspiral_30.xml,5.0,1.4564000000000001
Inspiral_30.xml,5.5,1.319
Inspiral_30.xml,6.0,1.3003999999999998
Inspiral_30.xml,6.5,1.3003999999999998
Inspiral_30.xml,7.0,1.0315999999999999
Inspiral_30.xml,7.5,0.7267999999999999
Inspiral_30.xml,8.0,5.4384
Inspiral_30.xml,8.5,0.18070000000000003
Inspiral_30.xml,9.0,182.4209
Inspiral_30.xml,9.5,1.7711
Inspiral_30.xml,10.0,35.55089999999999
Inspiral_50.xml,1.0,89.4011
Inspiral_50.xml,1.2,22.806099999999997
Inspiral_50.xml,1.5,12.4237
Inspiral_50.xml,2.0,11.117400000000002
Inspiral_50.xml,2.5,36.970499999999994
Inspiral_50.xml,3.0,35.14769999999999
Inspiral_50.xml,3.5,6.5053
Inspiral_50.xml,4.0,5.747199999999999
Inspiral_50.xml,4.5,4.3016000000000005
Inspiral_50.xml,5.0,3.3591999999999995
Inspiral_50.xml,5.5,2.8544000000000005
Inspiral_50.xml,6.0,2.5105
Inspiral_50.xml,6.5,2.4597
Inspiral_50.xml,7.0,2.1606
Inspiral_50.xml,7.5,2.1606
