Workflow,Deadline,Cost
Montage_100.xml,1.0,1.1284779231547626
Montage_100.xml,1.1,1.0189460055777777

Montage_100.xml,2.0,1.0675412411199545
Montage_100.xml,1.3,0.9201290472500001
Montage_100.xml,1.4,0.9381705615856482
Montage_100.xml,1.5,0.7849195064236112
Montage_100.xml,1.6,0.1844222688888889
Montage_100.xml,1.7,0.18442226888888888
Montage_100.xml,1.8,0.18442226888888882
Montage_100.xml,1.9,0.11713898133956784
Montage_100.xml,2.0,0.0675412411199539
Epigenomics_100.xml,1.0,9186.866817380476
Epigenomics_100.xml,1.1,9253.90786617035

Epigenomics_100.xml,2.0,8358.998940884407
Epigenomics_100.xml,1.3,8962.887982700013
Epigenomics_100.xml,1.4,9033.46682594353
Epigenomics_100.xml,1.5,8739.893410228524
Epigenomics_100.xml,1.6,8558.93441292751
Epigenomics_100.xml,1.7,8529.44739996177
Epigenomics_100.xml,1.8,8480.482626047049
Epigenomics_100.xml,1.9,8365.94344824691
Epigenomics_100.xml,2.0,8358.998940884405
Sipht_100.xml,1.0,26.65217708066851
Sipht_100.xml,1.1,26.026211415179645

Sipht_100.xml,2.0,25.904208863231478
Sipht_100.xml,1.3,25.959021600612957
Sipht_100.xml,1.4,25.959105252835183
Sipht_100.xml,1.5,25.957407756038887
Sipht_100.xml,1.6,25.95454832023518
Sipht_100.xml,1.7,25.952704996522225
Sipht_100.xml,1.8,25.905975051872225
Sipht_100.xml,1.9,25.902859468629625
Sipht_100.xml,2.0,25.904208863231485
